risk_number,risk_name,round,criteria,actor_sector_category,actor_sector_name,vuln_resp_level,count,total,pct
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Sector,National Security,Moderately vulnerable,12,73,16.4
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Sector,Professional,Don't Know/Unsure,2,73,2.7
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Sector,Professional,Extremely vulnerable,16,73,21.9
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Sector,Professional,Highly vulnerable,26,73,35.6
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Sector,Professional,Minimally vulnerable,3,73,4.1
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Sector,Professional,Moderately vulnerable,26,73,35.6
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Sector,Public Administration,Don't Know/Unsure,1,73,1.4
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Sector,Public Administration,Extremely vulnerable,24,73,32.9
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Sector,Public Administration,Highly vulnerable,38,73,52.1
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Sector,Public Administration,Minimally vulnerable,2,73,2.7
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Sector,Public Administration,Moderately vulnerable,8,73,11.0
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Sector,Real Estate,Don't Know/Unsure,2,73,2.7
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Sector,Real Estate,Extremely vulnerable,29,73,39.7
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Sector,Real Estate,Highly vulnerable,34,73,46.6
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Sector,Real Estate,Minimally vulnerable,2,73,2.7
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Sector,Real Estate,Moderately vulnerable,6,73,8.2
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Sector,Scientific,Don't Know/Unsure,2,73,2.7
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Sector,Scientific,Extremely vulnerable,12,73,16.4
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Sector,Scientific,Highly vulnerable,32,73,43.8
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Sector,Scientific,Minimally vulnerable,9,73,12.3
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Sector,Scientific,Moderately vulnerable,18,73,24.7
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Sector,Trade,Don't Know/Unsure,3,73,4.1
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Sector,Trade,Extremely vulnerable,6,73,8.2
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Sector,Trade,Highly vulnerable,16,73,21.9
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Sector,Trade,Minimally vulnerable,10,73,13.7
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Sector,Trade,Moderately vulnerable,37,73,50.7
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Sector,Trade,Not at all vulnerable,1,73,1.4
1.1,1.1 Unfair discrimination and misrepresentation,3,Responsibility,Actor,AI Deployer,Highly responsible,44,68,64.7
1.1,1.1 Unfair discrimination and misrepresentation,3,Responsibility,Actor,AI Deployer,Moderately responsible,3,68,4.4
1.1,1.1 Unfair discrimination and misrepresentation,3,Responsibility,Actor,AI Deployer,Primarily responsible,21,68,30.9
1.1,1.1 Unfair discrimination and misrepresentation,3,Responsibility,Actor,AI Developer (General-purpose AI),Highly responsible,13,68,19.1
1.1,1.1 Unfair discrimination and misrepresentation,3,Responsibility,Actor,AI Developer (General-purpose AI),Moderately responsible,8,68,11.8
1.1,1.1 Unfair discrimination and misrepresentation,3,Responsibility,Actor,AI Developer (General-purpose AI),Primarily responsible,47,68,69.1
1.1,1.1 Unfair discrimination and misrepresentation,3,Responsibility,Actor,AI Developer (Specialised AI),Don't Know/Unsure,1,64,1.6
1.1,1.1 Unfair discrimination and misrepresentation,3,Responsibility,Actor,AI Developer (Specialised AI),Highly responsible,38,64,59.4
1.1,1.1 Unfair discrimination and misrepresentation,3,Responsibility,Actor,AI Developer (Specialised AI),Minimally responsible,2,64,3.1
1.1,1.1 Unfair discrimination and misrepresentation,3,Responsibility,Actor,AI Developer (Specialised AI),Moderately responsible,5,64,7.8
1.1,1.1 Unfair discrimination and misrepresentation,3,Responsibility,Actor,AI Developer (Specialised AI),Primarily responsible,18,64,28.1
1.1,1.1 Unfair discrimination and misrepresentation,3,Responsibility,Actor,AI Governance Actor,Highly responsible,45,68,66.2
1.1,1.1 Unfair discrimination and misrepresentation,3,Responsibility,Actor,AI Governance Actor,Minimally responsible,2,68,2.9
1.1,1.1 Unfair discrimination and misrepresentation,3,Responsibility,Actor,AI Governance Actor,Moderately responsible,2,68,2.9
1.1,1.1 Unfair discrimination and misrepresentation,3,Responsibility,Actor,AI Governance Actor,Primarily responsible,19,68,27.9
1.1,1.1 Unfair discrimination and misrepresentation,3,Responsibility,Actor,AI Infrastructure Provider,Don't Know/Unsure,1,64,1.6
1.1,1.1 Unfair discrimination and misrepresentation,3,Responsibility,Actor,AI Infrastructure Provider,Highly responsible,7,64,10.9
1.1,1.1 Unfair discrimination and misrepresentation,3,Responsibility,Actor,AI Infrastructure Provider,Minimally responsible,38,64,59.4
1.1,1.1 Unfair discrimination and misrepresentation,3,Responsibility,Actor,AI Infrastructure Provider,Moderately responsible,11,64,17.2
1.1,1.1 Unfair discrimination and misrepresentation,3,Responsibility,Actor,AI Infrastructure Provider,Not at all responsible,5,64,7.8
1.1,1.1 Unfair discrimination and misrepresentation,3,Responsibility,Actor,AI Infrastructure Provider,Primarily responsible,2,64,3.1
1.1,1.1 Unfair discrimination and misrepresentation,3,Responsibility,Actor,AI User,Highly responsible,4,68,5.9
1.1,1.1 Unfair discrimination and misrepresentation,3,Responsibility,Actor,AI User,Minimally responsible,21,68,30.9
1.1,1.1 Unfair discrimination and misrepresentation,3,Responsibility,Actor,AI User,Moderately responsible,39,68,57.4
1.1,1.1 Unfair discrimination and misrepresentation,3,Responsibility,Actor,AI User,Not at all responsible,3,68,4.4
1.1,1.1 Unfair discrimination and misrepresentation,3,Responsibility,Actor,AI User,Primarily responsible,1,68,1.5
1.1,1.1 Unfair discrimination and misrepresentation,3,Responsibility,Actor,Affected Stakeholder,Don't Know/Unsure,1,64,1.6
1.1,1.1 Unfair discrimination and misrepresentation,3,Responsibility,Actor,Affected Stakeholder,Highly responsible,3,64,4.7
1.1,1.1 Unfair discrimination and misrepresentation,3,Responsibility,Actor,Affected Stakeholder,Minimally responsible,33,64,51.6
1.1,1.1 Unfair discrimination and misrepresentation,3,Responsibility,Actor,Affected Stakeholder,Moderately responsible,8,64,12.5
1.1,1.1 Unfair discrimination and misrepresentation,3,Responsibility,Actor,Affected Stakeholder,Not at all responsible,17,64,26.6
1.1,1.1 Unfair discrimination and misrepresentation,3,Responsibility,Actor,Affected Stakeholder,Primarily responsible,2,64,3.1
1.1,1.1 Unfair discrimination and misrepresentation,3,Vulnerability,Actor,AI Deployer,Extremely vulnerable,3,68,4.4
1.1,1.1 Unfair discrimination and misrepresentation,3,Vulnerability,Actor,AI Deployer,Highly vulnerable,22,68,32.4
1.1,1.1 Unfair discrimination and misrepresentation,3,Vulnerability,Actor,AI Deployer,Minimally vulnerable,12,68,17.6
1.1,1.1 Unfair discrimination and misrepresentation,3,Vulnerability,Actor,AI Deployer,Moderately vulnerable,30,68,44.1
1.1,1.1 Unfair discrimination and misrepresentation,3,Vulnerability,Actor,AI Deployer,Not at all vulnerable,1,68,1.5
1.1,1.1 Unfair discrimination and misrepresentation,3,Vulnerability,Actor,AI Developer (General-purpose AI),Extremely vulnerable,2,68,2.9
1.1,1.1 Unfair discrimination and misrepresentation,3,Vulnerability,Actor,AI Developer (General-purpose AI),Highly vulnerable,10,68,14.7
